columnas,count,unique,duplicate,vacios,cero,null,unique_values
currency_estimate,69,18,51,0,0,0,"[18000, 150000, 100, 14900, 0, 22500, 187550, 12100, 10000, 3800, 50, 10800, 60000, 16200, 99800, 101000, 200000, 20000]"
estimate,69,18,51,0,0,0,"[18000, 150000, 100, 14900, 0, 22500, 187550, 12100, 10000, 3800, 50, 10800, 60000, 16200, 99800, 101000, 200000, 20000]"
currency_diff,69,31,38,0,0,0,"[18000, 132000, 100, 0, 14900, -99800, 22500, -187550, 172650, -100, 12000, -2100, 3800, -50, -10000, -18000, 50, 10700, 37500, -150000, -60000, 16100, -16200, 127500, -1200, 97200, -200000, 177500, -20000, 20000, -10800]"
diff,69,31,38,0,0,0,"[18000, 132000, 100, 0, 14900, -99800, 22500, -187550, 172650, -100, 12000, -2100, 3800, -50, -10000, -18000, 50, 10700, 37500, -150000, -60000, 16100, -16200, 127500, -1200, 97200, -200000, 177500, -20000, 20000, -10800]"
exchange_rate,69,1,68,0,0,0,[100]
authorised_by,18,5,13,0,0,51,"[nan, 'LOCONSOV', 'CLAVIO', 'FRANCISC', 'BENITEGL', 'RAGONESE']"
gl_batch_no,57,20,37,0,0,12,"[384.0, 533.0, nan, 480.0, 0.0, 531.0, 398.0, 538.0, 588.0, 608.0, 583.0, 387.0, 601.0, 403.0, 467.0, 397.0, 475.0, 481.0, 563.0, 478.0, 526.0]"
pay,3,1,2,0,0,66,"[nan, 'N']"
timestamp,69,59,10,0,0,0,"['2023-06-02 12:49:52.000000 UTC', '2023-06-02 14:45:54.000000 UTC', '2023-06-02 12:49:58.000000 UTC', '2023-09-21 16:35:47.000000 UTC', '2023-09-21 16:35:39.000000 UTC', '2023-09-21 16:35:41.000000 UTC', '2023-08-30 09:14:24.000000 UTC', '2023-08-30 09:14:25.000000 UTC', '2023-07-21 15:56:36.000000 UTC', '2023-09-19 14:55:48.000000 UTC', '2023-09-19 14:51:09.000000 UTC', '2023-09-19 14:48:10.000000 UTC', '2023-06-16 17:11:54.000000 UTC', '2023-06-16 17:11:45.000000 UTC', '2023-06-16 17:11:46.000000 UTC', '2023-09-26 14:51:19.000000 UTC', '2023-09-26 14:51:26.000000 UTC', '2023-09-26 14:51:20.000000 UTC', '2023-11-03 17:25:31.000000 UTC', '2023-11-03 17:31:20.000000 UTC', '2023-11-23 13:59:40.000000 UTC', '2023-11-23 13:59:38.000000 UTC', '2023-11-23 13:59:45.000000 UTC', '2023-10-30 13:22:18.000000 UTC', '2023-06-05 11:13:17.000000 UTC', '2023-07-10 15:40:37.000000 UTC', '2023-07-10 15:41:19.000000 UTC', '2023-11-16 15:19:59.000000 UTC', '2023-06-21 15:49:09.000000 UTC', '2023-06-21 15:08:58.000000 UTC', '2023-06-21 15:08:37.000000 UTC', '2023-06-21 15:49:26.000000 UTC', '2023-06-21 15:49:41.000000 UTC', '2023-08-17 10:45:10.000000 UTC', '2023-08-17 10:45:28.000000 UTC', '2023-06-15 13:37:55.000000 UTC', '2023-08-25 15:09:48.000000 UTC', '2023-08-25 15:09:47.000000 UTC', '2023-08-25 15:09:56.000000 UTC', '2023-08-25 16:05:35.000000 UTC', '2023-07-17 12:50:28.000000 UTC', '2023-07-17 12:50:20.000000 UTC', '2023-07-17 12:50:22.000000 UTC', '2023-08-31 12:04:09.000000 UTC', '2023-08-31 12:04:10.000000 UTC', '2023-10-10 10:18:03.000000 UTC', '2023-10-10 10:47:17.000000 UTC', '2023-10-10 10:49:50.000000 UTC', '2023-10-10 10:24:19.000000 UTC', '2023-09-27 15:19:19.000000 UTC', '2023-08-28 16:14:08.000000 UTC', '2023-08-28 16:20:18.000000 UTC', '2023-08-28 16:12:25.000000 UTC', '2023-08-09 16:03:44.000000 UTC', '2023-08-09 15:45:32.000000 UTC', '2023-08-09 16:03:45.000000 UTC', '2023-08-09 15:46:47.000000 UTC', '2023-09-13 16:49:06.000000 UTC', '2023-09-13 16:49:11.000000 UTC']"
userid,69,9,60,0,0,0,"['OLIVET', 'LOCONSOV', 'GARYULO', 'FRANCISC', 'BENITEGL', 'ZABALETY', 'BUCHICAR', 'RAGONESE', 'CLAVIO']"
